"","x"
"855","ENSG00000140931"
"856","ENSG00000028310"
"857","ENSG00000157404"
"858","ENSG00000184319"
"859","ENSG00000132286"
"860","ENSG00000167085"
"861","ENSG00000196683"
"862","ENSG00000173641"
"863","ENSG00000064666"
"864","ENSG00000204256"
"865","ENSG00000136159"
"866","ENSG00000275342"
"867","ENSG00000126945"
"868","ENSG00000126062"
"869","ENSG00000102575"
"870","ENSG00000129596"
"871","ENSG00000182809"
"872","ENSG00000163528"
"873","ENSG00000265972"
"874","ENSG00000134375"
"875","ENSG00000136273"
"876","ENSG00000078668"
"877","ENSG00000172936"
"878","ENSG00000114395"
"879","ENSG00000271858"
"880","ENSG00000100983"
"881","ENSG00000158552"
"882","ENSG00000244509"
"883","ENSG00000072849"
"884","ENSG00000198952"
"885","ENSG00000107968"
"886","ENSG00000198755"
"887","ENSG00000164051"
"888","ENSG00000177432"
"889","ENSG00000142188"
"890","ENSG00000173369"
"891","ENSG00000184154"
"892","ENSG00000107372"
"893","ENSG00000090612"
"894","ENSG00000144591"
"895","ENSG00000117362"
"896","ENSG00000235387"
"897","ENSG00000185721"
"898","ENSG00000131711"
"899","ENSG00000224822"
"900","ENSG00000184840"
"901","ENSG00000131238"
"902","ENSG00000255767"
"903","ENSG00000175334"
"904","ENSG00000130821"
"905","ENSG00000103353"
"906","ENSG00000140332"
"907","ENSG00000125652"
"908","ENSG00000110711"
"909","ENSG00000158122"
"910","ENSG00000100216"
"911","ENSG00000140939"
"912","ENSG00000213965"
"913","ENSG00000132274"
"914","ENSG00000069535"
"915","ENSG00000177971"
"916","ENSG00000084623"
"917","ENSG00000119915"
"918","ENSG00000205581"
"919","ENSG00000105483"
"920","ENSG00000169504"
"921","ENSG00000128309"
"922","ENSG00000125249"
"923","ENSG00000054148"
"924","ENSG00000115286"
"925","ENSG00000048162"
"926","ENSG00000253719"
"927","ENSG00000169413"
"928","ENSG00000149743"
"929","ENSG00000152926"
"930","ENSG00000153487"
"931","ENSG00000196502"
"932","ENSG00000181924"
"933","ENSG00000162775"
"934","ENSG00000197858"
"935","ENSG00000095321"
"936","ENSG00000147576"
"937","ENSG00000164885"
"938","ENSG00000115282"
"939","ENSG00000228073"
"940","ENSG00000164346"
"941","ENSG00000167863"
"942","ENSG00000182511"
"943","ENSG00000173812"
"944","ENSG00000088827"
"945","ENSG00000119801"
"946","ENSG00000102409"
"947","ENSG00000160209"
"948","ENSG00000139197"
"949","ENSG00000114391"
"950","ENSG00000174951"
"951","ENSG00000163832"
"952","ENSG00000204592"
"953","ENSG00000102870"
"954","ENSG00000013561"
"955","ENSG00000138039"
"956","ENSG00000110074"
"957","ENSG00000168004"
"958","ENSG00000143157"
"959","ENSG00000149577"
"960","ENSG00000122861"
"961","ENSG00000185803"
"962","ENSG00000115694"
"963","ENSG00000182544"
"964","ENSG00000174282"
"965","ENSG00000079332"
"966","ENSG00000131469"
"967","ENSG00000110717"
"968","ENSG00000113369"
"969","ENSG00000155659"
"970","ENSG00000114978"
"971","ENSG00000126768"
"972","ENSG00000177427"
"973","ENSG00000253811"
"974","ENSG00000141753"
"975","ENSG00000134884"
"976","ENSG00000148730"
"977","ENSG00000143753"
"978","ENSG00000099785"
"979","ENSG00000244187"
"980","ENSG00000171298"
"981","ENSG00000172531"
"982","ENSG00000198856"
"983","ENSG00000072506"
"984","ENSG00000112936"
"985","ENSG00000123933"
"986","ENSG00000173267"
"987","ENSG00000096384"
"988","ENSG00000115361"
"989","ENSG00000187051"
"990","ENSG00000119048"
"991","ENSG00000132406"
"992","ENSG00000149136"
"993","ENSG00000162231"
"994","ENSG00000037042"
"995","ENSG00000129315"
"996","ENSG00000186577"
"997","ENSG00000236333"
"998","ENSG00000166963"
"999","ENSG00000167778"
"1000","ENSG00000168938"
"1001","ENSG00000166888"
"1002","ENSG00000099899"
"1003","ENSG00000196154"
"1004","ENSG00000105856"
"1005","ENSG00000099960"
"1006","ENSG00000167333"
"1007","ENSG00000169045"
"1008","ENSG00000179542"
"1009","ENSG00000102225"
"1010","ENSG00000173141"
"1011","ENSG00000173456"
"1012","ENSG00000134684"
"1013","ENSG00000162444"
"1014","ENSG00000166340"
"1015","ENSG00000211895"
"1016","ENSG00000234608"
"1017","ENSG00000151876"
"1018","ENSG00000132170"
"1019","ENSG00000214655"
"1020","ENSG00000188785"
"1021","ENSG00000141524"
"1022","ENSG00000174516"
"1023","ENSG00000159069"
"1024","ENSG00000134108"
"1025","ENSG00000181885"
"1026","ENSG00000071282"
"1027","ENSG00000112852"
"1028","ENSG00000205758"
"1029","ENSG00000184009"
"1030","ENSG00000104047"
"1031","ENSG00000260260"
"1032","ENSG00000196998"
"1033","ENSG00000179091"
"1034","ENSG00000124766"
"1035","ENSG00000154642"
"1036","ENSG00000092847"
"1037","ENSG00000166033"
"1038","ENSG00000182307"
"1039","ENSG00000162065"
"1040","ENSG00000144048"
"1041","ENSG00000068120"
"1042","ENSG00000108179"
"1043","ENSG00000182093"
"1044","ENSG00000112658"
"1045","ENSG00000148985"
"1046","ENSG00000102007"
"1047","ENSG00000181092"
"1048","ENSG00000249751"
"1049","ENSG00000122566"
"1050","ENSG00000108883"
"1051","ENSG00000164054"
"1052","ENSG00000101049"
"1053","ENSG00000178057"
"1054","ENSG00000149489"
"1055","ENSG00000173511"
"1056","ENSG00000197170"
"1057","ENSG00000111361"
"1058","ENSG00000144031"
"1059","ENSG00000162244"
"1060","ENSG00000177830"
"1061","ENSG00000124641"
"1062","ENSG00000174807"
"1063","ENSG00000119927"
"1064","ENSG00000196653"
"1065","ENSG00000198464"
"1066","ENSG00000133935"
"1067","ENSG00000104524"
"1068","ENSG00000109736"
"1069","ENSG00000176410"
