"","Adip_1","Adip_2","Macrophages","Mast","Pre_Ad","Stem","Vascular"
"NUMBL",1337.91969444856,899.575235369561,113.646201537721,52.0752646577292,847.987855086155,822.218594167288,501.739792608047
"COQ8B",807.972407169199,596.734413947751,100.446553363294,31.4839505866478,537.189645963856,185.170355986475,601.753250895424
"ITPKC",1198.9994747645,992.244452273647,173.946614942768,77.3073666065755,847.068285187347,482.875219103659,787.125660461392
"C19orf54",771.161354247914,273.431382349154,143.322351419955,8.73136741572499,310.945189965313,143.914013416347,177.371102123202
"SNRPA",1262.9277650391,722.046214230452,196.077387320002,31.2153092692862,538.012085927338,327.6835926758,739.079158539174
"RAB4B-EGLN2",34.0405533457252,4.29015992942314,0,0.22693020589063,20.5928938031764,1.69908227231217e-14,46.9571225620176
"AC008537.1",990.63010222853,1368.63830183335,160.464533898963,62.8142939113269,1233.54344971439,453.286578925484,1030.47052136682
"CYP2T1P",1030.1469836839,908.436656090384,40.1080974574666,2.15018459138787,196.238087855851,173.001190873365,143.7123193923
"AC008537.3",43.2406491202652,10.0970378069726,0.0508032266796423,0.0887317025054794,0.547121684137663,1.47164445529453e-14,0.100875727687519
"CYP2A6",32.1091779539783,75.8487597661919,11.7209437143075,0.038361329393518,8.90441317768342,1.43436069619308,11.9900189458259
"CYP2A7",11.016618175756,0.122476602868468,0.379715799645163,0.00949560920066075,37.0903101114073,0.0985021393505686,0.09700047248237
"CYP2B7P",378.779482798023,208.383708533884,140.917985030569,39.0194719678682,561.803175074268,64.8957681704169,179.046152944961
"CYP2B6",337.877820498448,137.938747764383,91.8329612361779,25.0518447158621,597.698748577251,87.3548034951855,217.916807643534
"CYP2G2P",88.7874183946879,29.8196601073201,20.8782707001024,6.23121491246014,157.719128042254,14.7293331833573,49.052599605367
"CYP2F1",111.459656714682,13.9008359306687,11.3886676073433,4.2094814670362,134.074051776565,63.5340257962755,43.5212320326846
"CYP2S1",273.972304943092,52.8771352513654,135.762184966814,11.5929084183013,298.823813686685,90.7307144229016,259.340251284188
"AXL",5178.3373311269,1403.03402135892,733.534895284258,84.5239078518486,2347.60700757459,10807.661620975,3532.55759675444
"HNRNPUL1",8663.34930970396,2966.77547690033,1155.26654989417,143.518926728365,2841.29019221798,2913.60635302266,4890.45009420223
"TGFB1",772.107971438332,219.510890727917,299.198815038044,104.014157536289,823.343116766936,207.127003143203,438.312082905557
"CCDC97",908.923253346043,486.313541202211,112.948274115671,5.09274660317479,224.539207120309,564.832692346006,484.613275753413
"TMEM91",196.857376630964,60.685810955909,44.0238130099509,19.5758468168009,63.2164902976338,54.2346585186305,176.319315731184
